epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,74.0078,1.14327,2.55929,1.26022,1,0.65198,0.83099,0.39067,1.95439,3.17734,1.50942,0.00024,0.00024,0.00024
2,158.831,1.13627,1.78108,1.21305,1,0.525,0.90969,0.52289,1.40477,3.28426,1.38508,0.00047525,0.00047525,0.00047525
3,228.943,1.09387,1.55619,1.20116,1,0.5498,0.76783,0.3968,1.34454,3.34229,1.25384,0.00068476,0.00068476,0.00068476
4,303.454,1.10336,1.50014,1.16592,1,0.41337,0.8401,0.51366,1.08157,3.15831,1.20803,0.00086853,0.00086853,0.00086853
5,559.93,1.06688,1.40619,1.20133,1,0.72849,0.91202,0.56767,1.10576,2.68016,1.37283,0.00102656,0.00102656,0.00102656
