epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,62.5247,1.14327,2.55929,1.26022,1,0.65198,0.83099,0.39067,1.95439,3.17734,1.50942,0.00024,0.00024,0.00024
2,118.21,1.13285,1.79223,1.21192,1,0.32006,0.89262,0.5169,1.45165,3.31603,1.44932,0.0004901,0.0004901,0.0004901
3,172.961,1.11211,1.55804,1.20701,1,0.44542,0.7588,0.37741,1.23645,3.48854,1.34989,0.000729904,0.000729904,0.000729904
4,229.114,1.10387,1.53754,1.17627,0.08688,0.21739,0.09377,0.04337,0.92673,3.53001,1.39014,0.000959412,0.000959412,0.000959412
5,285.455,1.09682,1.43416,1.22311,0.06033,0.13043,0.03583,0.01675,1.29146,6.00366,1.95223,0.00117862,0.00117862,0.00117862
6,435.3,1.05972,1.28828,1.16861,0.54413,0.62311,0.63166,0.3371,1.44757,6.72671,1.45532,0.00138754,0.00138754,0.00138754
7,602.3,1.06175,1.23358,1.18341,0.33995,0.47826,0.40572,0.158,1.69175,14.7755,1.81825,0.00158616,0.00158616,0.00158616
8,767.24,1.02566,1.13069,1.14206,0.14392,0.26087,0.16866,0.10583,1.45069,5.88359,1.62399,0.0017228,0.0017228,0.0017228
9,942.758,1.18148,1.23468,1.23967,0.01538,0.47826,0.01366,0.00672,1.60707,13.8552,1.8539,0.0016832,0.0016832,0.0016832
10,1107.99,1.05861,1.10372,1.18575,0.7917,0.3913,0.49443,0.38729,1.07836,3.23869,1.51991,0.0016436,0.0016436,0.0016436
11,1278.48,0.96411,1.02309,1.10722,0.94622,0.7655,0.78074,0.65276,0.97999,1.5003,1.48746,0.001604,0.001604,0.001604
12,1450.98,0.94092,0.97419,1.1527,0.89283,0.6087,0.71561,0.59786,0.83652,2.67152,1.20137,0.0015644,0.0015644,0.0015644
13,1622.88,0.91867,0.93234,1.11261,0.67789,0.54955,0.55048,0.42172,0.94499,3.26029,1.44231,0.0015248,0.0015248,0.0015248
14,1765.45,0.85853,0.88081,1.09798,0.81625,0.7729,0.83159,0.62693,0.83224,1.91807,1.13143,0.0014852,0.0014852,0.0014852
15,1823.35,0.89318,0.83803,1.10297,0.90444,0.82313,0.90364,0.77833,0.65452,1.57315,1.10439,0.0014456,0.0014456,0.0014456
16,1885.13,0.85681,0.77283,1.09384,1,0.80987,0.95993,0.814,0.57872,1.03218,1.04444,0.001406,0.001406,0.001406
17,1964.59,0.87341,0.77564,1.08793,0.78469,0.9509,0.94757,0.77021,0.683,1.19383,1.07204,0.0013664,0.0013664,0.0013664
18,2133.99,0.86422,0.75615,1.07245,0.96449,0.82609,0.96556,0.81119,0.60687,1.02642,1.07861,0.0013268,0.0013268,0.0013268
19,2306.22,0.82261,0.68156,1.04745,0.95235,0.86901,0.94358,0.76552,0.62525,0.96032,1.10081,0.0012872,0.0012872,0.0012872
20,2477.64,0.83552,0.68398,1.0474,0.90773,0.91304,0.95058,0.79309,0.77986,0.84456,1.10584,0.0012476,0.0012476,0.0012476
21,2644.56,0.74322,0.67788,1.03686,0.84782,1,0.9721,0.80714,0.59961,0.73382,1.03618,0.001208,0.001208,0.001208
22,2814.38,0.78579,0.673,1.04683,0.95396,0.90121,0.98018,0.79173,0.69558,0.72554,1.05053,0.0011684,0.0011684,0.0011684
23,2906.48,0.74537,0.62846,1.04237,0.83648,0.91304,0.95861,0.82656,0.50296,0.7119,0.95946,0.0011288,0.0011288,0.0011288
24,2963.31,0.70637,0.58763,0.98505,0.98088,0.91304,0.97118,0.86405,0.50855,0.64761,1.00283,0.0010892,0.0010892,0.0010892
25,3020.22,0.7014,0.54688,1.01887,0.91868,0.98277,0.99006,0.76512,0.83976,0.71793,1.11724,0.0010496,0.0010496,0.0010496
26,3076.76,0.66329,0.56169,1.00643,0.9194,0.99212,0.9918,0.87932,0.42544,0.6208,0.94691,0.00101,0.00101,0.00101
27,3133.36,0.64843,0.54935,0.98085,0.95599,1,0.995,0.93575,0.40662,0.57704,0.94369,0.0009704,0.0009704,0.0009704
28,40470.3,0.67687,0.56277,1.00811,0.99421,1,0.995,0.9365,0.426,0.5814,0.94895,0.0009308,0.0009308,0.0009308
29,40604.3,0.69109,0.56906,1.00839,1,0.99318,0.995,0.91482,0.47696,0.67493,1.00856,0.0008912,0.0008912,0.0008912
30,40847.3,0.66857,0.56435,0.9997,0.89863,0.95652,0.98157,0.89392,0.4507,0.75552,1.00794,0.0008516,0.0008516,0.0008516
31,41113.5,0.63508,0.50589,0.98046,0.97349,0.95652,0.99333,0.90496,0.41296,0.71694,0.95086,0.000812,0.000812,0.000812
32,41388.4,0.62557,0.52399,0.97375,0.91791,1,0.99167,0.91876,0.44314,0.57355,0.96133,0.0007724,0.0007724,0.0007724
33,43942.9,0.6518,0.5366,1.0012,1,0.9511,0.9918,0.88217,0.4858,0.54425,0.97541,0.0007328,0.0007328,0.0007328
34,44177.3,0.65992,0.52109,1.01407,0.99394,1,0.995,0.9052,0.43469,0.48703,0.96119,0.0006932,0.0006932,0.0006932
35,44408.5,0.61519,0.48896,0.95853,0.99716,1,0.995,0.90339,0.42737,0.43712,0.95877,0.0006536,0.0006536,0.0006536
36,44479.1,0.62551,0.49367,0.97538,0.99074,1,0.995,0.91805,0.38207,0.42995,0.92441,0.000614,0.000614,0.000614
37,44546.6,0.59203,0.45408,0.97683,0.99078,1,0.995,0.94162,0.36972,0.42513,0.91622,0.0005744,0.0005744,0.0005744
38,44686.4,0.63536,0.49559,0.98724,0.99376,1,0.995,0.89389,0.51811,0.44709,0.97639,0.0005348,0.0005348,0.0005348
39,44931,0.61816,0.46991,0.96774,0.9917,1,0.995,0.93171,0.37944,0.4098,0.9442,0.0004952,0.0004952,0.0004952
40,45175.8,0.63609,0.46837,1.02894,0.98502,1,0.995,0.93621,0.34768,0.40786,0.91237,0.0004556,0.0004556,0.0004556
41,45278.6,0.48641,0.47597,0.91393,0.98158,1,0.995,0.93593,0.37158,0.45514,0.92038,0.000416,0.000416,0.000416
42,45346,0.49232,0.49191,0.92999,0.99074,1,0.995,0.94299,0.37891,0.51296,0.91187,0.0003764,0.0003764,0.0003764
43,45412.4,0.49068,0.48032,0.92493,0.99092,1,0.995,0.95649,0.31299,0.42907,0.88828,0.0003368,0.0003368,0.0003368
44,45477.9,0.46401,0.43783,0.90958,0.99608,1,0.995,0.95399,0.29889,0.38677,0.88028,0.0002972,0.0002972,0.0002972
45,45543.2,0.4511,0.45117,0.90076,0.99722,1,0.995,0.96611,0.30811,0.38093,0.88783,0.0002576,0.0002576,0.0002576
46,45610,0.43108,0.41416,0.90511,1,0.99971,0.995,0.95775,0.3063,0.37074,0.88948,0.000218,0.000218,0.000218
47,45675.6,0.44598,0.4246,0.90125,1,0.99763,0.995,0.93632,0.33074,0.37963,0.89665,0.0001784,0.0001784,0.0001784
48,45741.6,0.41036,0.418,0.88073,1,0.99785,0.995,0.9565,0.30435,0.35973,0.8855,0.0001388,0.0001388,0.0001388
49,45808,0.40874,0.39202,0.88426,0.99788,1,0.995,0.96071,0.29062,0.35402,0.87834,9.92e-05,9.92e-05,9.92e-05
50,45874.9,0.41159,0.39436,0.88926,0.9976,1,0.995,0.96541,0.27377,0.34593,0.87293,5.96e-05,5.96e-05,5.96e-05
