epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,80.6001,1.14327,2.55929,1.26022,1,0.65198,0.83099,0.39067,1.95439,3.17734,1.50942,0.00024,0.00024,0.00024
2,138.23,1.13163,1.77426,1.20409,1,0.55018,0.8992,0.51423,1.40499,3.35459,1.40922,0.000401,0.000401,0.000401
3,249.804,1.1008,1.5074,1.19665,1,0.64295,0.87898,0.46576,1.22406,3.17335,1.18839,0.00045904,0.00045904,0.00045904
4,416.74,1.09256,1.45167,1.13432,1,0.51849,0.96607,0.4919,1.37275,3.12556,1.41253,0.00041412,0.00041412,0.00041412
5,583.002,0.98772,1.40107,1.14406,1,0.62541,0.96665,0.60142,1.15112,2.98974,1.186,0.00026624,0.00026624,0.00026624
